epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.475,1.0394,0.66643,1.02492,0.99577,0.99905,0.99488,0.7419,0.9763,0.40769,1.00192,0.00333016,0.00333016,0.00333016
2,913.336,1.02085,0.47153,1.03635,0.99293,0.99976,0.99432,0.74531,0.96076,0.38849,1.0152,0.00658103,0.00658103,0.00658103
3,1368.38,1.03586,0.48302,1.05611,0.98669,0.99881,0.9936,0.73109,0.97579,0.434,1.02237,0.0097494,0.0097494,0.0097494
4,1819.03,1.03185,0.47613,1.06397,0.99893,1,0.99485,0.76174,0.96965,0.3764,1.02419,0.00962875,0.00962875,0.00962875
5,2262.83,1.00577,0.44531,1.05673,0.99805,0.99905,0.9949,0.76091,0.95111,0.35545,1.0194,0.009505,0.009505,0.009505
6,2682.62,0.99043,0.42678,1.0541,0.99888,0.99928,0.99496,0.76645,0.93767,0.33846,1.01553,0.00938125,0.00938125,0.00938125
7,3101.48,0.98153,0.41156,1.05345,0.9987,1,0.99488,0.76052,0.9278,0.32587,1.00052,0.0092575,0.0092575,0.0092575
8,3523.04,0.97773,0.40416,1.05463,0.99819,0.99976,0.99492,0.76788,0.92644,0.31826,1.00631,0.00913375,0.00913375,0.00913375
9,3946.34,0.96914,0.39415,1.04907,0.99905,0.99972,0.99493,0.77199,0.92655,0.31205,1.02676,0.00901,0.00901,0.00901
10,4368.21,0.96688,0.39009,1.05328,0.99921,0.99952,0.99485,0.77465,0.92267,0.30477,1.01031,0.00888625,0.00888625,0.00888625
11,4782.09,0.96429,0.38776,1.05736,0.99892,0.99976,0.99495,0.77613,0.91995,0.29919,1.00244,0.0087625,0.0087625,0.0087625
12,5203.99,0.96228,0.38515,1.05418,0.99914,1,0.99483,0.77679,0.91321,0.29433,1.00525,0.00863875,0.00863875,0.00863875
13,5627.07,0.96137,0.38186,1.06067,0.99965,1,0.99493,0.779,0.91696,0.29348,1.02444,0.008515,0.008515,0.008515
14,6050,0.95417,0.37656,1.04771,0.99899,1,0.99495,0.77949,0.91337,0.28398,1.01076,0.00839125,0.00839125,0.00839125
